time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.43 test_case=G0_raw_bin lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.01 00:00:00;RECOVER;symbol overrides [GBPUSD]: disabled (InpUseSymbolOverrides=false)
2026.01.02 03:00:00;VETO;signal rejected: volume: relVol 0.80 < 1.00
2026.01.02 09:45:00;VETO;signal rejected: volume: relVol 0.88 < 1.00
2026.01.02 12:30:00;VETO;signal rejected: score 0.40 < 0.55 [BOS short lvl=1.34|RelVol=1.10|VWAPside]
2026.01.02 15:30:00;VETO;signal rejected: score 0.30 < 0.55 [CHoCH long lvl=1.34|RelVol=1.00|Retest@1.35]
2026.01.02 23:15:00;VETO;signal rejected: volume: relVol 0.79 < 1.00
2026.01.05 01:45:00;VETO;signal rejected: score 0.40 < 0.55 [CHoCH short lvl=1.34|RelVol=1.08|Retest@1.34|VWAPside]
2026.01.05 04:15:00;VETO;signal rejected: score 0.40 < 0.55 [BOS short lvl=1.34|RelVol=1.22|StopFloored|VWAPside]
2026.01.05 12:00:00;VETO;signal rejected: score 0.40 < 0.55 [CHoCH long lvl=1.34|RelVol=1.19|Retest@1.34|VWAPside]
2026.01.05 16:00:00;VETO;outlier bar masked, z=6.4
2026.01.05 17:15:00;DECISION;setup LONG score=0.60 entry=1.35 inv=1.34 tgt=0.00 [BOS long lvl=1.35|RelVol=1.23|VWAPside|CycleTurn w=0.76<--0.12]
2026.01.05 17:15:00;DECISION;TP capped 0.01140 -> 0.00855 (3.0xATR)
2026.01.05 17:15:00;ORDER;filled BUY 0.15 lots sl=1.34 tp=1.36 [WT|BOS|0.60]
2026.01.05 17:15:00;RISK;sizing: vol_ratio=1.44 scalar=1.00 gap_buf=0.00063 eff_stop=0.00633
2026.01.05 17:15:00;ORDER;entry fill deal #2 BUY 0.15 @ 1.34818
2026.01.05 19:22:40;MANAGE;#2 SL 1.34 -> 1.35 breakeven
2026.01.05 19:22:40;MANAGE;#2 partial close 0.07 of 0.15 lots
2026.01.05 19:22:40;RISK;deal closed pnl=40.25 streak=0 lock=0
2026.01.05 19:22:59;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 19:38:20;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 20:10:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 20:17:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 20:19:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 20:59:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 21:00:00;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 21:00:00;VETO;signal rejected: score 0.50 < 0.55 [BOS long lvl=1.35|RelVol=1.11|VWAPside|ADX=72]
2026.01.05 21:01:20;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 21:25:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 21:26:20;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 21:33:20;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 21:49:20;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 22:31:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 23:16:00;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 23:19:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.05 23:21:00;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.06 01:10:40;RISK;deal closed pnl=44.06 streak=0 lock=0
2026.01.06 01:30:00;VETO;signal rejected: volume: relVol 0.65 < 1.00
2026.01.06 03:45:00;VETO;signal rejected: volume: relVol 0.96 < 1.00
2026.01.06 11:30:00;VETO;signal rejected: score 0.40 < 0.55 [CHoCH short lvl=1.35|RelVol=1.32|Retest@1.35|VWAPside]
2026.01.06 17:30:00;DECISION;setup SHORT score=0.60 entry=1.35 inv=1.35 tgt=0.00 [BOS short lvl=1.35|RelVol=1.19|VWAPside|CycleTurn w=0.85<-1.00]
2026.01.06 17:30:00;DECISION;TP capped 0.00686 -> 0.00515 (3.0xATR)
2026.01.06 17:30:00;ORDER;filled SELL 0.25 lots sl=1.35 tp=1.34 [WT|BOS|0.60]
