time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.43 test_case=S3_no_retest_limit lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.01 00:00:00;RECOVER;symbol overrides [XAGUSD]: XAGUSD: EA defaults validated as-is (2026-07-17 gauntlet, PF 1.39)
2026.01.01 00:00:00;VETO;signal rejected: score 0.30 < 0.55 [BOS long lvl=71.42|RelVol=4.16]
2026.01.02 01:15:00;VETO;signal rejected: volume: relVol 0.32 < 1.00
2026.01.02 05:30:00;VETO;signal rejected: volume: relVol 0.20 < 1.00
2026.01.02 07:30:00;VETO;signal rejected: volume: relVol 0.25 < 1.00
2026.01.02 10:15:00;VETO;signal rejected: volume: relVol 0.25 < 1.00
2026.01.02 14:00:00;VETO;outlier bar masked, z=3.8
2026.01.02 16:45:00;VETO;outlier bar masked, z=3.6
2026.01.02 20:15:00;VETO;signal rejected: volume: relVol 0.47 < 1.00
2026.01.05 01:00:00;VETO;signal rejected: volume: relVol 0.09 < 1.00
2026.01.05 01:15:00;VETO;outlier bar masked, z=4.3
2026.01.05 07:45:00;VETO;signal rejected: volume: relVol 0.34 < 1.00
2026.01.05 10:15:00;VETO;signal rejected: volume: relVol 0.22 < 1.00
2026.01.05 13:30:00;VETO;outlier bar masked, z=3.8
2026.01.05 16:15:00;VETO;signal rejected: volume: relVol 0.48 < 1.00
2026.01.05 21:15:00;VETO;signal rejected: volume: relVol 0.37 < 1.00
2026.01.06 04:15:00;VETO;signal rejected: volume: relVol 0.42 < 1.00
2026.01.06 08:00:00;VETO;signal rejected: volume: relVol 0.44 < 1.00
2026.01.06 10:00:00;VETO;signal rejected: volume: relVol 0.30 < 1.00
2026.01.06 12:00:00;VETO;signal rejected: volume: relVol 0.35 < 1.00
2026.01.06 15:45:00;VETO;signal rejected: volume: relVol 0.47 < 1.00
2026.01.06 16:45:00;VETO;outlier bar masked, z=4.1
2026.01.06 17:45:00;VETO;outlier bar masked, z=3.7
2026.01.06 19:30:00;VETO;signal rejected: volume: relVol 0.36 < 1.00
2026.01.07 01:15:00;VETO;signal rejected: volume: relVol 0.16 < 1.00
2026.01.07 03:15:00;VETO;outlier bar masked, z=11.7
2026.01.07 03:45:00;VETO;outlier bar masked, z=4.4
2026.01.07 07:45:00;VETO;outlier bar masked, z=5.8
2026.01.07 14:00:00;VETO;signal rejected: volume: relVol 0.34 < 1.00
2026.01.07 15:15:00;VETO;outlier bar masked, z=4.6
2026.01.07 18:30:00;VETO;signal rejected: volume: relVol 0.43 < 1.00
2026.01.08 01:30:00;VETO;signal rejected: volume: relVol 0.15 < 1.00
2026.01.08 02:45:00;VETO;signal rejected: volume: relVol 0.30 < 1.00
2026.01.08 03:15:00;VETO;outlier bar masked, z=4.0
2026.01.08 07:15:00;VETO;signal rejected: volume: relVol 0.36 < 1.00
2026.01.08 07:45:00;VETO;outlier bar masked, z=4.6
2026.01.08 10:45:00;VETO;signal rejected: volume: relVol 0.30 < 1.00
