time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.30 test_case=A0_baseline_v16_like lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.02 01:15:00;DECISION;setup LONG score=0.85 entry=4330.89 inv=4304.62 tgt=0.00 [BOS long lvl=4324.38|RelVol=3.76|VPnode d=0.19|VWAPside|CycleTurn w=-0.09<--0.95]
2026.01.02 01:15:00;VETO;authorization denied: outside session window (server hour 01, window 03-20)
2026.01.02 01:30:00;VETO;authorization denied: outside session window (server hour 01, window 03-20)
2026.01.02 01:45:00;VETO;authorization denied: outside session window (server hour 01, window 03-20)
2026.01.02 02:00:00;VETO;authorization denied: outside session window (server hour 02, window 03-20)
2026.01.02 05:00:00;DECISION;setup LONG score=0.80 entry=4362.89 inv=4344.61 tgt=0.00 [BOS long lvl=4356.00|RelVol=0.94|VPnear|VWAPside|CycleTurn w=0.68<-0.66|ADX=45]
2026.01.02 05:00:00;ORDER;filled BUY 0.05 lots sl=4344.61 tp=4399.57 [WT|BOS|0.80]
2026.01.02 05:00:00;RISK;sizing: vol_ratio=0.69 scalar=1.00 gap_buf=0.00000 eff_stop=18.32000
2026.01.02 05:00:00;ORDER;entry fill deal #2 BUY 0.05 @ 4362.93000
2026.01.02 07:30:00;DECISION;setup LONG score=0.60 entry=4378.45 inv=4345.03 tgt=0.00 [BOS long lvl=4378.41|RelVol=1.03|VPnear|VWAPside|ADX=58]
2026.01.02 07:30:00;VETO;risk veto: max positions
2026.01.02 07:54:40;MANAGE;#2 SL 4344.61 -> 4362.97 breakeven
2026.01.02 07:54:59;MANAGE;#2 SL 4362.97 -> 4369.64 trail
2026.01.02 07:55:20;MANAGE;#2 SL 4369.64 -> 4370.08 trail
2026.01.02 09:34:40;MANAGE;#2 SL 4370.08 -> 4370.19 trail
2026.01.02 09:35:40;MANAGE;#2 SL 4370.19 -> 4370.64 trail
2026.01.02 09:37:20;MANAGE;#2 SL 4370.64 -> 4370.81 trail
2026.01.02 09:56:40;MANAGE;#2 SL 4370.81 -> 4372.11 trail
2026.01.02 09:57:40;MANAGE;#2 SL 4372.11 -> 4372.41 trail
2026.01.02 09:58:40;MANAGE;#2 SL 4372.41 -> 4372.63 trail
2026.01.02 09:59:20;MANAGE;#2 SL 4372.63 -> 4372.93 trail
2026.01.02 10:00:00;DECISION;setup LONG score=0.75 entry=4382.82 inv=4371.13 tgt=0.00 [BOS long lvl=4381.74|RelVol=1.52|VPnode d=0.58|VWAPside|ADX=35]
2026.01.02 10:00:00;VETO;risk veto: max positions
2026.01.02 10:00:40;MANAGE;#2 SL 4372.93 -> 4373.12 trail
2026.01.02 10:02:40;MANAGE;#2 SL 4373.12 -> 4373.86 trail
2026.01.02 10:07:40;MANAGE;#2 SL 4373.86 -> 4374.57 trail
2026.01.02 10:08:20;MANAGE;#2 SL 4374.57 -> 4374.90 trail
2026.01.02 10:09:40;MANAGE;#2 SL 4374.90 -> 4375.01 trail
2026.01.02 10:12:40;MANAGE;#2 SL 4375.01 -> 4375.66 trail
2026.01.02 10:33:40;MANAGE;#2 SL 4375.66 -> 4376.12 trail
2026.01.02 10:34:40;MANAGE;#2 SL 4376.12 -> 4377.99 trail
2026.01.02 10:41:40;MANAGE;#2 SL 4377.99 -> 4378.18 trail
2026.01.02 10:44:40;MANAGE;#2 SL 4378.18 -> 4379.38 trail
2026.01.02 10:45:00;MANAGE;#2 SL 4379.38 -> 4379.75 trail
2026.01.02 10:45:40;MANAGE;#2 SL 4379.75 -> 4380.64 trail
2026.01.02 10:46:40;MANAGE;#2 SL 4380.64 -> 4384.59 trail
2026.01.02 10:47:40;MANAGE;#2 SL 4384.59 -> 4386.80 trail
