time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.30 test_case=C2_m1_close lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.02 01:01:00;VETO;M1 break rejected: regime: chop ADX 17.1 < 22.0
2026.01.02 04:51:00;VETO;M1 break rejected: volume: relVol 0.99 < 1.00
2026.01.02 07:11:00;VETO;M1 break rejected: volume: relVol 0.85 < 1.00
2026.01.02 09:57:00;DECISION;M1 setup LONG score=0.75 entry=4382.27 inv=4371.13 [BOS long lvl=4381.74|RelVol=1.32|VPnode d=0.47|VWAPside|ADX=34]
2026.01.02 09:57:00;VETO;authorization denied: outside session window (server hour 09, window 12-20)
2026.01.02 10:00:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:15:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:30:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 12:52:00;DECISION;M1 setup LONG score=0.75 entry=4398.05 inv=4383.32 [BOS long lvl=4397.65|RelVol=1.38|VPnode d=0.25|VWAPside|ADX=39]
2026.01.02 12:52:00;DECISION;TP capped 29.60000 -> 22.20000 (3.0xATR)
2026.01.02 12:52:00;ORDER;filled BUY 0.05 lots sl=4383.32 tp=4420.32 [WT|BOS|0.75]
2026.01.02 12:52:00;RISK;sizing: vol_ratio=0.77 scalar=1.00 gap_buf=3.20821 eff_stop=18.00821
2026.01.02 12:52:00;ORDER;entry fill deal #2 BUY 0.05 @ 4398.12000
2026.01.02 15:14:00;DECISION;M1 setup LONG score=0.65 entry=4399.37 inv=4383.32 [BOS long lvl=4399.30|RelVol=1.53|VPnode d=0.97|VWAPside]
2026.01.02 15:14:00;DECISION;TP capped 32.18000 -> 24.13500 (3.0xATR)
2026.01.02 15:14:00;VETO;risk veto: max positions
2026.01.02 15:24:40;RISK;deal closed pnl=-74.00 streak=1 lock=0
2026.01.02 15:25:00;VETO;M1 break rejected: volume: relVol 0.79 < 1.00
2026.01.02 15:30:00;VETO;outlier bar masked, z=7.0
2026.01.02 16:45:00;VETO;outlier bar masked, z=4.4
2026.01.02 17:15:00;VETO;outlier bar masked, z=4.5
2026.01.02 20:11:00;VETO;M1 break rejected: score 0.50 < 0.55 [BOS short lvl=4315.03|RelVol=1.75|VWAPside|ADX=38]
2026.01.05 01:01:00;VETO;M1 break rejected: score 0.30 < 0.55 [CHoCH long lvl=4333.47|RelVol=1.29|Retest@4334.89]
2026.01.05 01:15:00;VETO;outlier bar masked, z=10.0
2026.01.05 03:15:00;VETO;outlier bar masked, z=5.5
