time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.30 test_case=C3_stop_orders lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.02 01:15:00;VETO;signal rejected: regime: chop ADX 19.5 < 22.0
2026.01.02 05:00:00;VETO;signal rejected: volume: relVol 0.94 < 1.00
2026.01.02 07:30:00;DECISION;setup LONG score=0.60 entry=4378.45 inv=4345.03 tgt=0.00 [BOS long lvl=4378.41|RelVol=1.03|VPnear|VWAPside|ADX=58]
2026.01.02 07:30:00;VETO;authorization denied: outside session window (server hour 07, window 12-20)
2026.01.02 07:45:00;VETO;authorization denied: outside session window (server hour 07, window 12-20)
2026.01.02 08:00:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.02 08:15:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.02 10:00:00;DECISION;setup LONG score=0.75 entry=4382.82 inv=4371.13 tgt=0.00 [BOS long lvl=4381.74|RelVol=1.52|VPnode d=0.58|VWAPside|ADX=35]
2026.01.02 10:00:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:15:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:30:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:45:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 12:00:00;DECISION;TP capped 51.91857 -> 38.93893 (3.0xATR)
2026.01.02 12:00:00;ORDER;stop BUY 0.03 @ 4397.95 sl=4371.99 tp=4436.89 rc=10009 [WT|BOS|0.75|SO]
2026.01.02 12:00:00;RISK;sizing: vol_ratio=0.71 scalar=1.00 gap_buf=2.99286 eff_stop=28.95214
2026.01.02 12:15:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.02 12:30:00;DECISION;TP capped 29.25836 -> 21.94377 (3.0xATR)
2026.01.02 12:30:00;ORDER;stop BUY 0.05 @ 4397.95 sl=4383.32 tp=4419.89 rc=10009 [WT|BOS|0.75|SO]
2026.01.02 12:30:00;RISK;sizing: vol_ratio=0.72 scalar=1.00 gap_buf=2.99179 eff_stop=17.62096
2026.01.02 12:45:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.02 12:45:00;DECISION;TP capped 29.30164 -> 21.97623 (3.0xATR)
2026.01.02 12:45:00;ORDER;stop BUY 0.05 @ 4397.97 sl=4383.32 tp=4419.95 rc=10009 [WT|BOS|0.75|SO]
2026.01.02 12:45:00;RISK;sizing: vol_ratio=0.77 scalar=1.00 gap_buf=3.20821 eff_stop=17.85904
2026.01.02 12:51:40;ORDER;entry fill deal #2 BUY 0.05 @ 4397.97000
2026.01.02 15:15:00;VETO;signal rejected: volume: relVol 0.79 < 1.00
2026.01.02 15:24:40;RISK;deal closed pnl=-73.25 streak=1 lock=0
2026.01.02 15:30:00;VETO;outlier bar masked, z=7.0
2026.01.02 16:45:00;VETO;outlier bar masked, z=4.4
2026.01.02 17:15:00;VETO;outlier bar masked, z=4.5
2026.01.02 20:15:00;VETO;signal rejected: score 0.50 < 0.55 [BOS short lvl=4315.03|RelVol=1.35|VWAPside|ADX=40]
2026.01.05 01:15:00;VETO;outlier bar masked, z=10.0
2026.01.05 03:15:00;VETO;outlier bar masked, z=5.5
2026.01.05 08:15:00;DECISION;setup LONG score=0.95 entry=4418.34 inv=4397.33 tgt=0.00 [BOS long lvl=4414.01|RelVol=1.48|VPnode d=5.34|VWAPside|CycleTurn w=-0.99<--1.00|ADX=41]
2026.01.05 08:15:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.05 08:30:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.05 08:45:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.05 09:00:00;VETO;authorization denied: outside session window (server hour 09, window 12-20)
2026.01.05 10:30:00;DECISION;setup LONG score=0.60 entry=4426.57 inv=4401.07 tgt=0.00 [BOS long lvl=4426.41|RelVol=1.13|VPnear|VWAPside|ADX=58]
2026.01.05 10:30:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.05 10:45:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.05 11:00:00;VETO;authorization denied: outside session window (server hour 11, window 12-20)
2026.01.05 11:15:00;VETO;authorization denied: outside session window (server hour 11, window 12-20)
2026.01.05 12:30:00;DECISION;TP capped 74.73514 -> 56.05136 (3.0xATR)
2026.01.05 12:30:00;ORDER;stop BUY 0.02 @ 4438.44 sl=4401.07 tp=4494.49 rc=10009 [WT|BOS|0.70|SO]
2026.01.05 12:30:00;RISK;sizing: vol_ratio=0.62 scalar=1.00 gap_buf=2.77571 eff_stop=40.14329
2026.01.05 12:38:40;ORDER;entry fill deal #4 BUY 0.02 @ 4438.44000
2026.01.05 13:30:00;VETO;outlier bar masked, z=3.8
2026.01.05 14:45:00;VETO;signal rejected: score 0.40 < 0.55 [CHoCH short lvl=4411.07|RelVol=1.39|Retest@4409.49|VWAPside]
2026.01.05 15:29:40;RISK;deal closed pnl=-74.74 streak=1 lock=0
2026.01.05 16:15:00;DECISION;setup LONG score=0.85 entry=4421.51 inv=4406.14 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=4418.95|RelVol=1.34|Retest@4421.51|StopFloored|VPnode d=4.69|VWAPside|CycleTurn w=-0.95<--0.99]
2026.01.05 16:15:00;DECISION;TP capped 30.74786 -> 30.74786 (3.0xATR)
2026.01.05 16:15:00;ORDER;limit BUY 0.04 @ 4421.51 sl=4406.14 tp=4452.26 rc=10009 [WT|CHOCH|0.85|RL]
2026.01.05 16:15:00;RISK;sizing: vol_ratio=1.07 scalar=0.95 gap_buf=5.12464 eff_stop=20.49857
2026.01.05 16:15:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.05 16:30:00;ORDER;filled BUY 0.04 lots sl=4406.14 tp=4451.05 [WT|CHOCH|0.85]
2026.01.05 16:30:00;RISK;sizing: vol_ratio=1.09 scalar=0.93 gap_buf=5.26107 eff_stop=20.23268
2026.01.05 16:30:00;ORDER;entry fill deal #6 BUY 0.04 @ 4421.11000
2026.01.05 16:48:40;MANAGE;#9 SL 4406.14 -> 4421.15 breakeven
2026.01.05 16:48:40;MANAGE;#9 partial close 0.02 of 0.04 lots
2026.01.05 16:48:40;RISK;deal closed pnl=31.44 streak=0 lock=0
2026.01.05 17:00:40;MANAGE;#9 SL 4421.15 -> 4424.16 trail
2026.01.05 17:01:40;MANAGE;#9 SL 4424.16 -> 4424.63 trail
2026.01.05 17:02:40;MANAGE;#9 SL 4424.63 -> 4426.51 trail
2026.01.05 17:03:40;RISK;deal closed pnl=59.88 streak=0 lock=0
2026.01.06 01:15:00;VETO;signal rejected: regime: chop ADX 19.5 < 22.0
2026.01.06 02:45:00;VETO;signal rejected: regime: chop ADX 14.8 < 22.0
2026.01.06 04:00:00;VETO;signal rejected: regime: chop ADX 16.3 < 22.0
2026.01.06 07:30:00;VETO;signal rejected: volume: relVol 0.94 < 1.00
2026.01.06 08:00:00;DECISION;setup SHORT score=0.60 entry=4460.16 inv=4470.44 tgt=0.00 AWAIT-RETEST [CHoCH short lvl=4461.87|RelVol=1.34|Retest@4460.16|StopFloored|VPnear|CycleTurn w=0.11<-0.96]
2026.01.06 08:30:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.06 08:45:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.06 09:00:00;VETO;authorization denied: outside session window (server hour 09, window 12-20)
2026.01.06 09:15:00;VETO;authorization denied: outside session window (server hour 09, window 12-20)
2026.01.06 10:30:00;VETO;signal rejected: regime: chop ADX 21.5 < 22.0
2026.01.06 11:30:00;VETO;signal rejected: regime: chop ADX 20.6 < 22.0
2026.01.06 14:45:00;DECISION;TP capped 66.81229 -> 50.10921 (3.0xATR)
2026.01.06 14:45:00;ORDER;stop SELL 0.02 @ 4442.30 sl=4475.71 tp=4392.19 rc=10009 [WT|BOS|0.60|SO]
2026.01.06 14:45:00;RISK;sizing: vol_ratio=0.74 scalar=1.00 gap_buf=2.96143 eff_stop=36.36757
2026.01.06 15:00:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 15:15:00;DECISION;TP capped 66.84464 -> 50.13348 (3.0xATR)
2026.01.06 15:15:00;ORDER;stop SELL 0.02 @ 4442.29 sl=4475.71 tp=4392.15 rc=10009 [WT|BOS|0.80|SO]
2026.01.06 15:15:00;RISK;sizing: vol_ratio=0.77 scalar=1.00 gap_buf=3.12321 eff_stop=36.54554
2026.01.06 15:30:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 15:30:00;DECISION;TP capped 66.85479 -> 50.14109 (3.0xATR)
2026.01.06 15:30:00;ORDER;stop SELL 0.02 @ 4442.28 sl=4475.71 tp=4392.14 rc=10009 [WT|BOS|0.80|SO]
2026.01.06 15:30:00;RISK;sizing: vol_ratio=0.80 scalar=1.00 gap_buf=3.17393 eff_stop=36.60132
2026.01.06 15:45:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 16:00:00;DECISION;TP capped 66.90493 -> 50.17870 (3.0xATR)
2026.01.06 16:00:00;ORDER;stop SELL 0.02 @ 4442.26 sl=4475.71 tp=4392.08 rc=10009 [WT|BOS|0.80|SO]
2026.01.06 16:00:00;RISK;sizing: vol_ratio=0.86 scalar=1.00 gap_buf=3.42464 eff_stop=36.87711
2026.01.06 16:15:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 16:15:00;DECISION;TP capped 66.89600 -> 50.17200 (3.0xATR)
2026.01.06 16:15:00;ORDER;stop SELL 0.02 @ 4442.26 sl=4475.71 tp=4392.09 rc=10009 [WT|BOS|0.60|SO]
2026.01.06 16:15:00;RISK;sizing: vol_ratio=0.84 scalar=1.00 gap_buf=3.38000 eff_stop=36.82800
2026.01.06 16:30:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 16:45:00;VETO;signal rejected: volume: relVol 0.97 < 1.00
2026.01.06 18:45:00;DECISION;TP capped 56.77657 -> 42.58243 (3.0xATR)
2026.01.06 18:45:00;ORDER;stop BUY 0.02 @ 4491.47 sl=4463.08 tp=4534.05 rc=10009 [WT|BOS|0.60|SO]
2026.01.06 18:45:00;RISK;sizing: vol_ratio=1.34 scalar=0.75 gap_buf=5.38286 eff_stop=33.77114
2026.01.06 19:00:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 19:00:00;DECISION;TP capped 56.71629 -> 42.53721 (3.0xATR)
2026.01.06 19:00:00;ORDER;stop BUY 0.02 @ 4491.44 sl=4463.08 tp=4533.98 rc=10009 [WT|BOS|0.60|SO]
2026.01.06 19:00:00;RISK;sizing: vol_ratio=1.28 scalar=0.79 gap_buf=5.08143 eff_stop=33.43957
2026.01.06 19:15:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 19:15:00;DECISION;TP capped 56.71129 -> 42.53346 (3.0xATR)
2026.01.06 19:15:00;ORDER;stop BUY 0.02 @ 4491.44 sl=4463.08 tp=4533.97 rc=10009 [WT|BOS|0.60|SO]
2026.01.06 19:15:00;RISK;sizing: vol_ratio=1.29 scalar=0.78 gap_buf=5.05643 eff_stop=33.41207
2026.01.06 19:30:00;ORDER;cancelled 1 pending: stop-order refresh
2026.01.06 20:15:00;DECISION;setup LONG score=0.60 entry=4491.11 inv=4463.08 tgt=0.00 [BOS long lvl=4490.93|RelVol=1.17|VPnear|VWAPside|ADX=32]
2026.01.06 20:15:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2026.01.06 20:30:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2026.01.06 20:45:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2026.01.06 21:00:00;VETO;authorization denied: outside session window (server hour 21, window 12-20)
2026.01.06 21:30:00;DECISION;setup SHORT score=0.55 entry=4479.95 inv=4494.11 tgt=0.00 AWAIT-RETEST [CHoCH short lvl=4481.67|RelVol=1.22|Retest@4479.95|VPnode d=3.85]
2026.01.06 21:45:00;VETO;authorization denied: outside session window (server hour 21, window 12-20)
2026.01.06 22:00:00;VETO;authorization denied: outside session window (server hour 22, window 12-20)
2026.01.06 22:15:00;VETO;authorization denied: outside session window (server hour 22, window 12-20)
2026.01.06 22:30:00;VETO;authorization denied: outside session window (server hour 22, window 12-20)
2026.01.07 01:15:00;DECISION;setup LONG score=0.65 entry=4498.14 inv=4477.44 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=4496.89|RelVol=2.53|Retest@4498.14|VPnode d=0.14|VWAPside]
2026.01.07 01:30:00;VETO;authorization denied: outside session window (server hour 01, window 12-20)
2026.01.07 01:45:00;VETO;authorization denied: outside session window (server hour 01, window 12-20)
2026.01.07 02:00:00;VETO;authorization denied: outside session window (server hour 02, window 12-20)
2026.01.07 02:15:00;VETO;authorization denied: outside session window (server hour 02, window 12-20)
2026.01.07 03:15:00;VETO;outlier bar masked, z=6.2
2026.01.07 07:45:00;VETO;outlier bar masked, z=4.9
2026.01.07 13:45:00;VETO;signal rejected: volume: relVol 0.29 < 1.00
2026.01.07 15:15:00;VETO;outlier bar masked, z=5.4
2026.01.07 15:30:00;VETO;outlier bar masked, z=3.7
2026.01.07 17:00:00;DECISION;TP capped 53.88400 -> 40.41300 (3.0xATR)
2026.01.07 17:00:00;ORDER;stop SELL 0.02 @ 4427.40 sl=4454.34 tp=4386.99 rc=10009 [WT|BOS|0.60|SO]
2026.01.07 17:00:00;RISK;sizing: vol_ratio=1.40 scalar=0.70 gap_buf=5.59536 eff_stop=32.53736
2026.01.07 17:14:40;ORDER;entry fill deal #9 SELL 0.02 @ 4427.40000
2026.01.07 17:15:00;VETO;outlier bar masked, z=3.9
2026.01.07 17:30:00;VETO;outlier bar masked, z=3.9
