time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.44 test_case=T1_momentum_m15 lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.01 00:00:00;RECOVER;symbol overrides [XAUUSD]: XAUUSD: EA defaults are already tuned for this symbol
2026.01.02 01:15:00;DECISION;setup LONG score=0.90 entry=4326.41 inv=4304.62 tgt=0.00 AWAIT-RETEST [BOS long lvl=4324.38|RelVol=3.76|Retest@4326.41|VPnode d=2.59|CycleTurn w=-0.09<--0.95|RSI=59]
2026.01.02 05:00:00;VETO;signal rejected: volume: relVol 0.94 < 1.00
2026.01.02 07:30:00;DECISION;setup LONG score=0.75 entry=4378.45 inv=4345.03 tgt=0.00 [BOS long lvl=4378.41|RelVol=1.03|VPnear|VWAPside|ADX=58|RSI=75]
2026.01.02 07:30:00;VETO;authorization denied: outside session window (server hour 07, window 12-20)
2026.01.02 07:45:00;VETO;authorization denied: outside session window (server hour 07, window 12-20)
2026.01.02 08:00:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.02 08:15:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.02 10:00:00;DECISION;setup LONG score=0.90 entry=4382.82 inv=4371.13 tgt=0.00 [BOS long lvl=4381.74|RelVol=1.52|VPnode d=0.58|VWAPside|ADX=35|RSI=67]
2026.01.02 10:00:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:15:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:30:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 10:45:00;VETO;authorization denied: outside session window (server hour 10, window 12-20)
2026.01.02 15:15:00;VETO;signal rejected: volume: relVol 0.79 < 1.00
2026.01.02 15:30:00;VETO;outlier bar masked, z=7.0
2026.01.02 16:45:00;VETO;outlier bar masked, z=4.4
2026.01.02 17:15:00;VETO;outlier bar masked, z=4.5
2026.01.02 20:15:00;DECISION;setup SHORT score=0.65 entry=4314.53 inv=4333.47 tgt=0.00 [BOS short lvl=4315.03|RelVol=1.35|VWAPside|ADX=40|RSI=26]
2026.01.02 20:15:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2026.01.02 20:30:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2026.01.02 20:45:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2026.01.02 21:00:00;VETO;authorization denied: outside session window (server hour 21, window 12-20)
2026.01.05 01:15:00;VETO;outlier bar masked, z=10.0
2026.01.05 03:15:00;VETO;outlier bar masked, z=5.5
2026.01.05 08:15:00;DECISION;setup LONG score=1.00 entry=4418.34 inv=4397.33 tgt=0.00 [BOS long lvl=4414.01|RelVol=1.48|VPnode d=5.34|VWAPside|CycleTurn w=-0.99<--1.00|ADX=41|RSI=66]
2026.01.05 08:15:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.05 08:30:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.05 08:45:00;VETO;authorization denied: outside session window (server hour 08, window 12-20)
2026.01.05 09:00:00;VETO;authorization denied: outside session window (server hour 09, window 12-20)
