campaign,symbol,period,config,model,trades,net_profit,profit_factor,expectancy,win_rate,avg_win,avg_loss,max_dd,equity_dd,recovery,sharpe,deals,runtime_s,error
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,A0_baseline_v16_like,1,135,813.04,1.14,6.02,71 (52.59%),92.66,-90.10,1 153.07 (9.64%),,0.67,1.74,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,A1_full_v20,1,68,405.89,1.29,5.97,47 (69.12%),37.92,-65.54,391.55 (3.84%),,0.94,4.10,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B1_no_exit_mgmt,1,48,326.07,1.23,6.79,27 (56.25%),64.20,-67.02,351.91 (3.45%),,0.73,2.98,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B2_no_adaptive_sizing,1,72,863.63,1.46,11.99,51 (70.83%),53.75,-89.40,476.99 (4.48%),,1.51,5.61,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B3_no_retest,1,62,-41.56,0.97,-0.67,39 (62.90%),37.54,-65.46,820.43 (8.16%),,-0.05,-0.40,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B4_no_adx_gate,1,104,976.94,1.48,9.39,73 (70.19%),41.19,-65.49,309.38 (2.94%),,2.43,6.07,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B5_no_relvol,1,122,-297.66,0.90,-2.44,75 (61.48%),36.89,-65.21,452.94 (4.46%),,-0.62,-1.84,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B6_no_outlier_mask,1,92,556.78,1.28,6.05,62 (67.39%),41.18,-66.55,372.15 (3.59%),,1.44,3.90,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,B7_wide_session,1,119,502.92,1.20,4.23,79 (66.39%),38.91,-64.28,547.03 (5.39%),,0.85,2.53,,,
backfill-2026-07-15,XAUUSD,2026.01.01-2026.07.08,C1_retest_limit,1,66,520.67,1.37,7.89,45 (68.18%),42.84,-67.02,326.61 (3.20%),,1.51,5.11,,,
